Build,Game,Scene,Run,Flicker count,Audio/SFX,Notes
custom-v0.1.2,Game 1,static,1,,,NOT RUN
custom-v0.1.2,Game 1,static,2,,,NOT RUN
custom-v0.1.2,Game 1,static,3,,,NOT RUN
custom-v0.1.2,Game 1,dynamic,1,,,NOT RUN
custom-v0.1.2,Game 1,dynamic,2,,,NOT RUN
custom-v0.1.2,Game 1,dynamic,3,,,NOT RUN
custom-v0.1.2,Game 2,static,1,,,NOT RUN
custom-v0.1.2,Game 2,static,2,,,NOT RUN
custom-v0.1.2,Game 2,static,3,,,NOT RUN
custom-v0.1.2,Game 2,dynamic,1,,,NOT RUN
custom-v0.1.2,Game 2,dynamic,2,,,NOT RUN
custom-v0.1.2,Game 2,dynamic,3,,,NOT RUN
custom-v0.1.3-rc1,Game 1,static,1,,,NOT RUN
custom-v0.1.3-rc1,Game 1,static,2,,,NOT RUN
custom-v0.1.3-rc1,Game 1,static,3,,,NOT RUN
custom-v0.1.3-rc1,Game 1,dynamic,1,,,NOT RUN
custom-v0.1.3-rc1,Game 1,dynamic,2,,,NOT RUN
custom-v0.1.3-rc1,Game 1,dynamic,3,,,NOT RUN
custom-v0.1.3-rc1,Game 2,static,1,,,NOT RUN
custom-v0.1.3-rc1,Game 2,static,2,,,NOT RUN
custom-v0.1.3-rc1,Game 2,static,3,,,NOT RUN
custom-v0.1.3-rc1,Game 2,dynamic,1,,,NOT RUN
custom-v0.1.3-rc1,Game 2,dynamic,2,,,NOT RUN
custom-v0.1.3-rc1,Game 2,dynamic,3,,,NOT RUN
